"Plot Title: L11"
"#","Date Time, GMT+01:00","X Accel, g (LGR S/N: 21217339, SEN S/N: 21217339)","Coupler Attached (LGR S/N: 21217339)","Host Connected (LGR S/N: 21217339)","Stopped (LGR S/N: 21217339)","End Of File (LGR S/N: 21217339)"
436,06/02/22 07:15:00 PM,0.075,,,,
437,06/02/22 07:16:00 PM,0.075,,,,
438,06/02/22 07:17:00 PM,0.075,,,,
439,06/02/22 07:18:00 PM,0.075,,,,
440,06/02/22 07:19:00 PM,0.050,,,,
441,06/02/22 07:20:00 PM,0.075,,,,
442,06/02/22 07:21:00 PM,0.050,,,,
443,06/02/22 07:22:00 PM,0.075,,,,
444,06/02/22 07:23:00 PM,0.075,,,,
445,06/02/22 07:24:00 PM,0.050,,,,
446,06/02/22 07:25:00 PM,0.075,,,,
447,06/02/22 07:26:00 PM,0.075,,,,
448,06/02/22 07:27:00 PM,0.075,,,,
449,06/02/22 07:28:00 PM,0.075,,,,
450,06/02/22 07:29:00 PM,0.075,,,,
451,06/02/22 07:30:00 PM,0.050,,,,
452,06/02/22 07:31:00 PM,0.050,,,,
453,06/02/22 07:32:00 PM,0.075,,,,
454,06/02/22 07:33:00 PM,0.050,,,,
455,06/02/22 07:34:00 PM,0.075,,,,
456,06/02/22 07:35:00 PM,0.050,,,,
457,06/02/22 07:36:00 PM,0.050,,,,
458,06/02/22 07:37:00 PM,0.075,,,,
459,06/02/22 07:38:00 PM,0.050,,,,
460,06/02/22 07:39:00 PM,0.075,,,,
461,06/02/22 07:40:00 PM,0.075,,,,
462,06/02/22 07:41:00 PM,0.050,,,,
463,06/02/22 07:42:00 PM,0.075,,,,
464,06/02/22 07:43:00 PM,0.075,,,,
465,06/02/22 07:44:00 PM,0.075,,,,
466,06/02/22 07:45:00 PM,0.050,,,,
467,06/02/22 07:46:00 PM,0.075,,,,
468,06/02/22 07:47:00 PM,0.075,,,,
469,06/02/22 07:48:00 PM,0.075,,,,
470,06/02/22 07:49:00 PM,0.075,,,,
471,06/02/22 07:50:00 PM,0.050,,,,
472,06/02/22 07:51:00 PM,0.075,,,,
473,06/02/22 07:52:00 PM,0.050,,,,
474,06/02/22 07:53:00 PM,0.075,,,,
475,06/02/22 07:54:00 PM,0.075,,,,
476,06/02/22 07:55:00 PM,0.050,,,,
477,06/02/22 07:56:00 PM,0.050,,,,
478,06/02/22 07:57:00 PM,0.050,,,,
479,06/02/22 07:58:00 PM,0.050,,,,
480,06/02/22 07:59:00 PM,0.050,,,,
481,06/02/22 08:00:00 PM,0.075,,,,
482,06/02/22 08:01:00 PM,0.050,,,,
483,06/02/22 08:02:00 PM,0.075,,,,
484,06/02/22 08:03:00 PM,0.050,,,,
485,06/02/22 08:04:00 PM,0.075,,,,
486,06/02/22 08:05:00 PM,0.050,,,,
487,06/02/22 08:06:00 PM,0.075,,,,
488,06/02/22 08:07:00 PM,0.050,,,,
489,06/02/22 08:08:00 PM,0.075,,,,
490,06/02/22 08:09:00 PM,0.050,,,,
491,06/02/22 08:10:00 PM,0.075,,,,
492,06/02/22 08:11:00 PM,0.075,,,,
493,06/02/22 08:12:00 PM,0.050,,,,
494,06/02/22 08:13:00 PM,0.075,,,,
495,06/02/22 08:14:00 PM,0.075,,,,
496,06/02/22 08:15:00 PM,0.075,,,,
497,06/02/22 08:16:00 PM,0.050,,,,
498,06/02/22 08:17:00 PM,0.075,,,,
499,06/02/22 08:18:00 PM,0.075,,,,
500,06/02/22 08:19:00 PM,0.050,,,,
501,06/02/22 08:20:00 PM,0.050,,,,
502,06/02/22 08:21:00 PM,0.075,,,,
503,06/02/22 08:22:00 PM,0.075,,,,
504,06/02/22 08:23:00 PM,0.075,,,,
505,06/02/22 08:24:00 PM,0.050,,,,
506,06/02/22 08:25:00 PM,0.075,,,,
507,06/02/22 08:26:00 PM,0.050,,,,
508,06/02/22 08:27:00 PM,0.050,,,,
509,06/02/22 08:28:00 PM,0.075,,,,
510,06/02/22 08:29:00 PM,0.050,,,,
511,06/02/22 08:30:00 PM,0.050,,,,
512,06/02/22 08:31:00 PM,0.075,,,,
513,06/02/22 08:32:00 PM,0.050,,,,
514,06/02/22 08:33:00 PM,0.050,,,,
515,06/02/22 08:34:00 PM,0.050,,,,
516,06/02/22 08:35:00 PM,0.050,,,,
517,06/02/22 08:36:00 PM,0.050,,,,
518,06/02/22 08:37:00 PM,0.050,,,,
519,06/02/22 08:38:00 PM,0.075,,,,
520,06/02/22 08:39:00 PM,0.050,,,,
521,06/02/22 08:40:00 PM,0.050,,,,
522,06/02/22 08:41:00 PM,0.050,,,,
523,06/02/22 08:42:00 PM,0.050,,,,
524,06/02/22 08:43:00 PM,0.050,,,,
525,06/02/22 08:44:00 PM,0.050,,,,
526,06/02/22 08:45:00 PM,0.050,,,,
527,06/02/22 08:46:00 PM,0.050,,,,
528,06/02/22 08:47:00 PM,0.050,,,,
529,06/02/22 08:48:00 PM,0.050,,,,
530,06/02/22 08:49:00 PM,0.050,,,,
531,06/02/22 08:50:00 PM,0.075,,,,
532,06/02/22 08:51:00 PM,0.050,,,,
533,06/02/22 08:52:00 PM,0.050,,,,
534,06/02/22 08:53:00 PM,0.050,,,,
535,06/02/22 08:54:00 PM,0.075,,,,
536,06/02/22 08:55:00 PM,0.075,,,,
537,06/02/22 08:56:00 PM,0.075,,,,
538,06/02/22 08:57:00 PM,0.050,,,,
539,06/02/22 08:58:00 PM,0.050,,,,
