datetime,y
21/11/2019 01:43,-0.103
21/11/2019 01:43,-0.103
21/11/2019 01:43,-0.103
21/11/2019 01:43,-0.099
21/11/2019 01:43,-0.091
21/11/2019 01:43,-0.095
21/11/2019 01:43,-0.103
21/11/2019 01:43,-0.099
21/11/2019 01:43,-0.095
21/11/2019 01:43,-0.099
21/11/2019 01:43,-0.095
21/11/2019 01:43,-0.091
21/11/2019 01:43,-0.091
21/11/2019 01:43,-0.091
21/11/2019 01:43,-0.095
21/11/2019 01:43,-0.099
21/11/2019 01:44,-0.091
21/11/2019 01:44,-0.099
21/11/2019 01:44,-0.095
21/11/2019 01:44,-0.091
21/11/2019 01:44,-0.099
21/11/2019 01:44,-0.083
21/11/2019 01:44,-0.095
21/11/2019 01:44,-0.095
21/11/2019 01:44,-0.087
21/11/2019 01:44,-0.106
21/11/2019 01:44,-0.095
21/11/2019 01:44,-0.099
21/11/2019 01:44,-0.095
21/11/2019 01:44,-0.103
21/11/2019 01:44,-0.099
21/11/2019 01:44,-0.091
21/11/2019 01:44,-0.099
21/11/2019 01:44,-0.095
21/11/2019 01:44,-0.087
21/11/2019 01:44,-0.091
21/11/2019 01:44,-0.095
21/11/2019 01:44,-0.103
21/11/2019 01:44,-0.095
21/11/2019 01:44,-0.095
21/11/2019 01:44,-0.087
21/11/2019 01:44,-0.095
21/11/2019 01:44,-0.095
21/11/2019 01:44,-0.087
21/11/2019 01:44,-0.091
21/11/2019 01:44,-0.103
21/11/2019 01:44,-0.099
21/11/2019 01:44,-0.099
21/11/2019 01:44,-0.095
21/11/2019 01:44,-0.099
21/11/2019 01:44,-0.095
21/11/2019 01:44,-0.087
21/11/2019 01:44,-0.091
21/11/2019 01:44,-0.106
21/11/2019 01:44,-0.095
21/11/2019 01:44,-0.099
21/11/2019 01:44,-0.091
21/11/2019 01:44,-0.091
21/11/2019 01:44,-0.095
21/11/2019 01:44,-0.099
21/11/2019 01:44,-0.091
21/11/2019 01:44,-0.091
21/11/2019 01:44,-0.091
21/11/2019 01:44,-0.091
21/11/2019 01:44,-0.106
21/11/2019 01:44,-0.099
21/11/2019 01:44,-0.099
21/11/2019 01:44,-0.099
21/11/2019 01:44,-0.079
21/11/2019 01:44,-0.095
21/11/2019 01:44,-0.103
21/11/2019 01:44,-0.091
21/11/2019 01:44,-0.099
21/11/2019 01:44,-0.099
21/11/2019 01:44,-0.091
21/11/2019 01:44,-0.091
21/11/2019 01:45,-0.095
21/11/2019 01:45,-0.087
21/11/2019 01:45,-0.099
21/11/2019 01:45,-0.095
21/11/2019 01:45,-0.103
21/11/2019 01:45,-0.091
21/11/2019 01:45,-0.091
21/11/2019 01:45,-0.099
21/11/2019 01:45,-0.099
21/11/2019 01:45,-0.106
21/11/2019 01:45,-0.087
21/11/2019 01:45,-0.099
21/11/2019 01:45,-0.091
21/11/2019 01:45,-0.103
21/11/2019 01:45,-0.091
21/11/2019 01:45,-0.099
21/11/2019 01:45,-0.095
21/11/2019 01:45,-0.095
21/11/2019 01:45,-0.095
21/11/2019 01:45,-0.099
21/11/2019 01:45,-0.099
21/11/2019 01:45,-0.106
21/11/2019 01:45,-0.091
21/11/2019 01:45,-0.099
21/11/2019 01:45,-0.079
21/11/2019 01:45,-0.099
21/11/2019 01:45,-0.095
21/11/2019 01:45,-0.087
21/11/2019 01:45,-0.083
21/11/2019 01:45,-0.091
21/11/2019 01:45,-0.099
21/11/2019 01:45,-0.099
21/11/2019 01:45,-0.099
21/11/2019 01:45,-0.087
21/11/2019 01:45,-0.091
21/11/2019 01:45,-0.095
21/11/2019 01:45,-0.095
21/11/2019 01:45,-0.091
21/11/2019 01:45,-0.087
21/11/2019 01:45,-0.095
21/11/2019 01:45,-0.091
21/11/2019 01:45,-0.103
21/11/2019 01:45,-0.087
21/11/2019 01:45,-0.099
21/11/2019 01:45,-0.095
21/11/2019 01:45,-0.099
21/11/2019 01:45,-0.095
21/11/2019 01:45,-0.087
21/11/2019 01:45,-0.099
21/11/2019 01:45,-0.099
21/11/2019 01:45,-0.095
21/11/2019 01:45,-0.091
21/11/2019 01:45,-0.103
21/11/2019 01:45,-0.099
21/11/2019 01:45,-0.091
21/11/2019 01:45,-0.103
21/11/2019 01:45,-0.099
21/11/2019 01:45,-0.103
21/11/2019 01:45,-0.099
21/11/2019 01:45,-0.099
21/11/2019 01:46,-0.099
21/11/2019 01:46,-0.095
21/11/2019 01:46,-0.091
21/11/2019 01:46,-0.099
21/11/2019 01:46,-0.087
21/11/2019 01:46,-0.103
21/11/2019 01:46,-0.087
21/11/2019 01:46,-0.099
21/11/2019 01:46,-0.095
21/11/2019 01:46,-0.091
21/11/2019 01:46,-0.099
21/11/2019 01:46,-0.095
21/11/2019 01:46,-0.095
21/11/2019 01:46,-0.095
21/11/2019 01:46,-0.091
21/11/2019 01:46,-0.087
21/11/2019 01:46,-0.087
21/11/2019 01:46,-0.087
21/11/2019 01:46,-0.099
21/11/2019 01:46,-0.091
21/11/2019 01:46,-0.091
21/11/2019 01:46,-0.091
21/11/2019 01:46,-0.095
21/11/2019 01:46,-0.103
21/11/2019 01:46,-0.099
21/11/2019 01:46,-0.091
21/11/2019 01:46,-0.091
21/11/2019 01:46,-0.087
21/11/2019 01:46,-0.103
21/11/2019 01:46,-0.103
21/11/2019 01:46,-0.099
21/11/2019 01:46,-0.099
21/11/2019 01:46,-0.091
21/11/2019 01:46,-0.103
21/11/2019 01:46,-0.091
21/11/2019 01:46,-0.099
21/11/2019 01:46,-0.095
21/11/2019 01:46,-0.091
21/11/2019 01:46,-0.087
21/11/2019 01:46,-0.103
21/11/2019 01:46,-0.091
21/11/2019 01:46,-0.087
21/11/2019 01:46,-0.095
21/11/2019 01:46,-0.091
21/11/2019 01:46,-0.087
21/11/2019 01:46,-0.106
21/11/2019 01:46,-0.099
21/11/2019 01:46,-0.091
21/11/2019 01:46,-0.091
21/11/2019 01:46,-0.095
21/11/2019 01:46,-0.091
21/11/2019 01:46,-0.099
21/11/2019 01:46,-0.106
21/11/2019 01:46,-0.095
21/11/2019 01:46,-0.095
21/11/2019 01:46,-0.095
21/11/2019 01:46,-0.091
21/11/2019 01:46,-0.095
21/11/2019 01:46,-0.091
21/11/2019 01:46,-0.087
21/11/2019 01:47,-0.091
21/11/2019 01:47,-0.103
21/11/2019 01:47,-0.095
21/11/2019 01:47,-0.095
21/11/2019 01:47,-0.095
21/11/2019 01:47,-0.095
21/11/2019 01:47,-0.103
21/11/2019 01:47,-0.103
21/11/2019 01:47,-0.087
21/11/2019 01:47,-0.099
21/11/2019 01:47,-0.099
21/11/2019 01:47,-0.095
21/11/2019 01:47,-0.099
21/11/2019 01:47,-0.095
21/11/2019 01:47,-0.095
21/11/2019 01:47,-0.095
21/11/2019 01:47,-0.087
21/11/2019 01:47,-0.095
21/11/2019 01:47,-0.095
21/11/2019 01:47,-0.099
21/11/2019 01:47,-0.087
21/11/2019 01:47,-0.091
21/11/2019 01:47,-0.103
21/11/2019 01:47,-0.091
21/11/2019 01:47,-0.099
21/11/2019 01:47,-0.099
21/11/2019 01:47,-0.095
21/11/2019 01:47,-0.095
21/11/2019 01:47,-0.083
21/11/2019 01:47,-0.106
21/11/2019 01:47,-0.103
21/11/2019 01:47,-0.099
21/11/2019 01:47,-0.087
21/11/2019 01:47,-0.099
21/11/2019 01:47,-0.095
21/11/2019 01:47,-0.095
21/11/2019 01:47,-0.083
21/11/2019 01:47,-0.099
21/11/2019 01:47,-0.095
21/11/2019 01:47,-0.099
21/11/2019 01:47,-0.099
21/11/2019 01:47,-0.099
21/11/2019 01:47,-0.095
21/11/2019 01:47,-0.095
21/11/2019 01:47,-0.095
21/11/2019 01:47,-0.095
21/11/2019 01:47,-0.103
21/11/2019 01:47,-0.103
21/11/2019 01:47,-0.103
21/11/2019 01:47,-0.095
21/11/2019 01:47,-0.099
21/11/2019 01:47,-0.091
21/11/2019 01:47,-0.091
21/11/2019 01:47,-0.083
21/11/2019 01:47,-0.099
21/11/2019 01:47,-0.095
21/11/2019 01:47,-0.091
21/11/2019 01:47,-0.091
21/11/2019 01:47,-0.095
21/11/2019 01:47,-0.095
21/11/2019 01:48,-0.095
21/11/2019 01:48,-0.095
21/11/2019 01:48,-0.099
21/11/2019 01:48,-0.099
21/11/2019 01:48,-0.106
21/11/2019 01:48,-0.103
21/11/2019 01:48,-0.099
21/11/2019 01:48,-0.091
21/11/2019 01:48,-0.099
21/11/2019 01:48,-0.095
21/11/2019 01:48,-0.091
21/11/2019 01:48,-0.103
21/11/2019 01:48,-0.095
21/11/2019 01:48,-0.099
21/11/2019 01:48,-0.091
21/11/2019 01:48,-0.103
21/11/2019 01:48,-0.087
21/11/2019 01:48,-0.095
21/11/2019 01:48,-0.103
21/11/2019 01:48,-0.106
21/11/2019 01:48,-0.095
21/11/2019 01:48,-0.091
21/11/2019 01:48,-0.099
21/11/2019 01:48,-0.091
21/11/2019 01:48,-0.095
21/11/2019 01:48,-0.095
21/11/2019 01:48,-0.091
21/11/2019 01:48,-0.099
21/11/2019 01:48,-0.091
21/11/2019 01:48,-0.083
21/11/2019 01:48,-0.095
21/11/2019 01:48,-0.091
21/11/2019 01:48,-0.099
21/11/2019 01:48,-0.087
21/11/2019 01:48,-0.095
21/11/2019 01:48,-0.095
21/11/2019 01:48,-0.091
21/11/2019 01:48,-0.103
21/11/2019 01:48,-0.099
21/11/2019 01:48,-0.095
21/11/2019 01:48,-0.095
21/11/2019 01:48,-0.103
21/11/2019 01:48,-0.099
21/11/2019 01:48,-0.095
21/11/2019 01:48,-0.095
21/11/2019 01:48,-0.091
21/11/2019 01:48,-0.103
21/11/2019 01:48,-0.099
21/11/2019 01:48,-0.091
21/11/2019 01:48,-0.095
21/11/2019 01:48,-0.106
21/11/2019 01:48,-0.095
21/11/2019 01:48,-0.095
21/11/2019 01:48,-0.099
21/11/2019 01:48,-0.095
21/11/2019 01:48,-0.106
21/11/2019 01:48,-0.106
21/11/2019 01:48,-0.099
21/11/2019 01:48,-0.083
21/11/2019 01:48,-0.087
21/11/2019 01:49,-0.099
