Parameter,Units,Event,Tide,Value
Mean current velocity,[m/s],5,Flood,0.0587872834332843
Mean current velocity,[m/s],6,Ebb,0.62971676582531
Mean current velocity,[m/s],6,Flood,0.512486834351719
Mean current velocity,[m/s],7,Ebb,0.0320680776587049
Mean current velocity,[m/s],7,Flood,0.116074780861264
Mean current velocity,[m/s],8,Ebb,0.195411219800478
Mean current velocity,[m/s],8,Flood,
Mean current velocity,[m/s],9,Ebb,0.240475582073067
Mean current velocity,[m/s],9,Flood,0.197734079841961
Mean current velocity,[m/s],10,Ebb,
Mean current velocity,[m/s],10,Flood,
Mean current velocity,[m/s],11,Ebb,0.787365089340834
Mean current velocity,[m/s],11,Flood,0.642979796949756
Mean current velocity,[m/s],12,Ebb,0.771410420115906
Mean current velocity,[m/s],12,Flood,0.751714894887911
Mean current velocity,[m/s],13,Ebb,0.61945961576034
Mean current velocity,[m/s],13,Flood,0.658968215153988
Mean current velocity,[m/s],14,Ebb,0.708529156331908
Mean current velocity,[m/s],14,Flood,0.745290516027458
Mean current velocity,[m/s],15,Ebb,0.266104694225739
Mean current velocity,[m/s],15,Flood,0.285327668233933
Mean current velocity,[m/s],16,Ebb,
Mean current velocity,[m/s],16,Flood,
Mean current velocity,[m/s],17,Ebb,0.24265688061977
Mean current velocity,[m/s],17,Flood,0.191931034189313
Median current velocity,[m/s],1,Ebb,
Median current velocity,[m/s],1,Flood,
Median current velocity,[m/s],2,Ebb,0.747400503345441
Median current velocity,[m/s],2,Flood,0.707926074417242
Median current velocity,[m/s],3,Ebb,0.773945848201018
Median current velocity,[m/s],3,Flood,0.779153265115786
Median current velocity,[m/s],4,Ebb,0.749135821415766
Median current velocity,[m/s],4,Flood,0.749300997063564
Median current velocity,[m/s],5,Ebb,0.112968532496398
Median current velocity,[m/s],5,Flood,0.0534020974904107
Median current velocity,[m/s],6,Ebb,0.629981965954522
Median current velocity,[m/s],6,Flood,0.622443542268429
Median current velocity,[m/s],7,Ebb,0.0179273649999999
Median current velocity,[m/s],7,Flood,0.114393596034283
Median current velocity,[m/s],8,Ebb,0.195241190516999
Median current velocity,[m/s],8,Flood,
Median current velocity,[m/s],9,Ebb,0.240944854452285
Median current velocity,[m/s],9,Flood,0.199054542597124
Median current velocity,[m/s],10,Ebb,
Median current velocity,[m/s],10,Flood,
Median current velocity,[m/s],11,Ebb,0.787101369101572
Median current velocity,[m/s],11,Flood,0.744462902474786
Median current velocity,[m/s],12,Ebb,0.79094301331099
Median current velocity,[m/s],12,Flood,0.78912414073752
Median current velocity,[m/s],13,Ebb,0.689815048987947
Median current velocity,[m/s],13,Flood,0.735951432896119
Median current velocity,[m/s],14,Ebb,0.733660144921197
Median current velocity,[m/s],14,Flood,0.768030016993002
Median current velocity,[m/s],15,Ebb,0.27388770761676
Median current velocity,[m/s],15,Flood,0.313879687137155
Median current velocity,[m/s],16,Ebb,
Median current velocity,[m/s],16,Flood,
Median current velocity,[m/s],17,Ebb,0.239754462080723
Median current velocity,[m/s],17,Flood,0.193303713256335
